frame_n,volumen_um3,error_volumen_um3,superficie_um2,error_superficie_um2
51,15726985.385707606,0.0010287736852963765,308634.5832544378,0.06802928266891589
52,15414529.692231948,0.006720225140452385,308190.73252269416,0.0328065001560996
53,15276264.478347132,0.006961271415154139,303542.1548270198,0.26837167897804953
54,15989196.76180762,0.00898324114580949,315359.7953285364,0.16216075238771738
55,15734969.32392536,0.024869663268327714,313403.4987145715,0.2742864530455942
56,15566439.17230041,0.00017921477556228637,310844.7766630052,0.06647561802528798
57,15389992.904604029,0.0030452199280261993,306749.45205594617,0.05433152689753721
58,15252069.706204604,0.005350099876523018,300820.9855417664,0.013557388121262193
59,15954617.381716294,0.0055263910442590715,311357.93931707327,0.04211036174868544
60,14908894.333294095,8.112825453281403e-05,300553.35711249156,0.12755119405143583
61,15532523.503061231,0.024498141556978225,305178.02876691375,0.15856893043189
62,15390829.575605838,0.011697565019130707,303936.63459258847,0.28534304808126765
63,16187120.71789913,0.0009112644940614701,315241.65490653587,0.2700855120822477
64,16044730.384179669,0.0025011332084735236,315868.70724647376,0.05329608999891207
65,15021001.069780413,0.008669328068693478,300349.53137802664,0.06228151142131537
66,14867467.68708258,0.018111076081792514,300853.40902138123,0.05148064666427672
67,15612669.660495538,0.00891247031589349,307701.27580139623,0.09464386762895932
68,15525101.946245445,0.01699089283744494,305675.32716373913,0.23022454207918297
69,15469165.122714752,0.00813824993868669,305755.6452957491,0.22460019995924085
70,15461079.236332612,0.009753271068135897,306177.09929618496,0.03260229859345903
71,15303782.721963923,0.0066075733552376425,302824.46626385715,0.06713803037224958
72,15197401.040839745,0.007308150331179301,304214.94691930385,0.0767882062937133
73,15147023.547337817,0.0056921379019816715,301762.64872527705,0.021380565699655563
74,15094288.992004354,0.005779242267211279,302677.33294378116,0.0417795027877825
75,15037395.893206086,0.005651562660932541,302602.43768302107,0.08500810177841535
76,15938291.2766869,0.0026651736348867416,311972.18599477777,0.12519366261937345
77,15926513.169678228,0.005430018405119578,313473.6609077872,0.1177944725845009
78,15880431.109759463,0.002585451180736224,312617.2924049265,0.08511484695288042
79,14938759.72714888,0.0007322256763776144,300991.89679712453,0.051714299231146774
80,14881974.79581146,0.0001082217941681544,300597.3416066923,0.024574873491656036
81,15762985.779227605,0.0002200643221537272,311830.08681455895,0.12211072340530033
82,15781975.506697098,0.001965395361185074,312371.42162321974,0.013123629944554219
83,15765426.46440935,0.0033949368943770727,311517.66081747937,0.0022419008038317163
84,15774051.676047437,0.001247855027516683,313025.13057564385,0.0048624862528716525
85,15798623.261216464,0.004023066659768423,313142.8356488318,0.020105025820278875
86,15819922.056942502,0.0012214879194895427,312055.3444978739,0.029188451326141753
87,15837748.80076209,0.00031580328941345216,311901.07126285566,0.02685780405299738
88,15857038.219051152,0.00044537968933582305,311928.16465748544,0.06741187847607459
89,15821071.90778904,0.0080750223249197,313100.66993634315,0.09278336749024069
90,14935513.6892018,0.019511110708117486,298854.89681035676,0.005995741536996017
91,15844854.854608083,0.008442636455098788,311934.6636075294,0.09975077071770405
92,15916098.66208079,0.006536098072926203,313166.4970258203,0.13014797477129225
93,15878755.661409788,0.007881737500429153,312770.6916740634,0.12103399458962182
94,15862442.40619549,0.007055584713816643,312663.4107970411,0.1392311231737646
95,15892886.127290143,0.023727982367078463,311805.94414255157,0.0461171316060548
96,15888903.248273253,0.026685945813854535,310960.2917497943,0.02979457415252303
97,15876953.526599418,0.023262965430816015,311479.18301335606,0.0013136860254841546
98,15865620.27907068,0.01599500464896361,309955.2083970413,0.06737524216296151
99,15830136.613409761,0.032048286373416585,312688.2478047125,0.2905190376370835
100,15876953.526599418,0.023262965430816015,311479.18301335606,0.0013136860254841546
101,15929866.274487203,0.02266383854051431,312171.0476899627,0.008735250390600413
102,15868216.998341953,0.02418700171013673,311377.42117368174,0.05664803308900446
103,15866266.101401243,0.030125109106302263,311342.3231416496,0.0981915103077578
104,15881136.955360983,0.026563234875599542,312090.12778236717,0.001208431898461034
105,15901111.353292992,0.026137818644444148,312453.00367796194,0.0014839246442231039
106,14964251.100516545,0.026092061524589857,299063.42250122933,0.02285253326408565
107,15811736.766552465,0.033416669070720675,312511.76692733925,0.236410445595781
108,15874872.326290365,0.029797589778900145,311417.48081017483,0.022029175884866466
109,15813937.803242564,0.026874888688325882,310745.509093329,0.009098058822564781
110,15822561.089170808,0.0355845756828785,313590.7454583935,0.28735900127406544
111,15839390.38876175,0.018713337555527686,312202.24343147484,0.09269004229766627
112,15878036.26673252,0.030751874670386314,313771.0413668865,0.18746155408831935
113,15872027.41383514,0.009014392892519632,309911.6061035305,0.03236883262482782
114,15846460.205575889,0.03347369295855363,312897.574538764,0.0342438096452194
115,15866266.455840135,0.021981694921851157,311342.34959982027,0.006152676600807657
116,15931446.212377371,0.023605784898002944,312364.7762450727,0.042840737744700166
117,15879688.724146636,0.025417301058769225,314082.0799133752,0.2757889949949458
118,15898907.957442313,0.02814386524260044,312577.58966445044,0.05188107153323169
119,14889721.819572017,0.03066438337167104,300778.37381934316,0.3014450797267879
120,15922998.342122525,0.012787997846802075,310412.47370063246,0.033639605323939274
121,15857387.803596627,0.030458908900618552,311276.9320745954,0.0995703134375314
122,15878001.899888854,0.02358073592185974,312434.4905904631,0.05256395563871289
123,15848117.752365544,0.025530894100666047,312897.29876742145,0.02719242457145204
124,15871523.555504996,0.013227668032050133,311285.8712971641,0.07172865186585113
125,15838497.287037406,0.02192486139635245,311007.1188871774,0.07491637815255672
126,15826646.128774121,0.028430592268705368,313336.20736340125,0.16753757944873846
