frame_n,volumen_um3,error_volumen_um3,superficie_um2,error_superficie_um2
1,130417.32620479677,3.77513545875748e-07,25538.501107697215,1.5365461877081542e-06
2,934578.9678460044,1.7219207560022672e-05,75612.05623652948,0.0012682042724918574
3,2721422.8158420688,0.005309487444659074,138408.629209794,0.06559233660227619
4,4424963.713671199,0.016416104199985664,169177.02327368263,0.26646182758461995
5,6585098.419084745,0.007703851660092672,203497.7075190962,0.9228011488836879
6,8968082.51614388,0.014676849544048309,234051.61212743245,0.16164072908189459
7,11087413.815794941,0.00634598471224308,254021.61246652517,0.2727892762205253
8,13746562.647032125,0.0194711954643329,282983.8870020906,0.01683897008964171
9,15348437.954640683,0.026113252341747283,309901.3504245307,0.5074420172100266
10,16235983.6788802,0.11643448819716772,319627.4863268587,0.401246132379553
11,16277183.924879551,0.10350869931280612,320919.8536725258,0.1709517200050565
12,15384507.424358886,0.2842630993574858,313999.678076963,0.5970968576186958
13,16506856.682403592,0.11875291888912519,322865.7041247233,0.31721649220368514
14,15557075.073005913,0.11031199072798094,312285.19111135544,0.136118305393029
15,15651602.005687276,0.01632768412431081,312982.7508861225,0.3923425194147664
16,15701031.656912014,0.010528729359308878,312161.95070616755,0.75890401013894
17,15704127.879605241,0.15612740255892277,311853.6717458914,0.6250953938734407
18,15593862.51605473,0.04637558050453663,313134.48023053975,0.21028746308293195
19,14699978.422671642,0.06362001610298952,297207.8694432917,0.1657655804301612
20,15494615.622854203,0.0509746336688598,315843.5477640202,0.2550745965098031
21,14555887.077280745,0.0017246391624212265,311739.74047954765,0.10494712020736188
22,14598264.686558997,0.007790395120779673,319459.38037672295,0.019153208219601463
23,14889763.509436518,0.0011661092440287272,323903.93084712356,0.05370309043598051
24,15240184.602255126,1.18664155403773e-05,317992.3776543946,0.06961808411094049
25,15330435.041364342,0.008813438937067986,316499.90238188684,0.25755485486394414
26,15280383.961949155,0.008749197423458099,308219.8491395998,0.2123652677478579
27,15418056.8371719,0.1268740065395832,305969.20318934094,0.08545433892868459
28,15149267.77310311,0.003095119819045067,304415.3490837194,0.20119393337906027
29,15115708.744445631,0.005365186308821043,303732.10342407617,0.30389084708488856
30,14996262.834055439,0.0010536825905243556,296380.80123808514,0.012402886128984391
31,15740969.599953901,0.002485363930463791,311534.19037321507,0.2387643897595505
32,15656772.430672735,0.001589130734403928,308660.0175545599,0.10372318256801615
33,15461004.98563291,0.00014629041155179341,307741.3494110032,0.6267602391230563
34,15243478.350968344,0.0053001462171475095,308566.1591168989,0.8536731418765461
35,16020785.769979738,0.0020356281350056332,313997.6091748935,0.5138091571046971
36,15871873.82909946,0.020278221492966018,316721.8267008185,0.23688906298484652
37,15545426.623684177,0.003745813543597857,308225.56885011477,0.2979499672229091
38,16299914.140155911,0.009580018495519956,319424.2336855082,0.2612804485135712
39,15234005.518056171,0.0005562213559945424,304655.0737825624,0.5307310671467955
40,15803320.343714304,0.0016747263570626577,314380.71192432067,0.3390425005190385
41,15508607.381498741,6.855912506580353e-05,308813.563936849,0.6082840198030074
42,15355829.464998957,0.0007011990994215012,306710.64595103025,0.2371808683228058
43,15081467.843252806,0.0010748669505119325,305232.9916256565,0.3159024424579305
44,15728821.262356468,0.0032110551993052164,311982.11170149816,0.04913299937422077
45,15411736.819463436,0.00954404150446256,306598.92743605847,0.007439958350732923
46,15243830.433990998,0.003168247143427531,304517.41319968255,0.007695320275767396
47,14990693.34910855,0.010265489543477694,299583.8091654037,0.18895880236523227
48,15480958.271656163,0.020371135075887045,308856.1643245421,0.13165002580887328
49,15258577.219644716,0.006139458591739337,301304.65189600026,0.027726830266571294
50,15065840.932791518,0.004743001361687978,299428.61459579086,0.031249899665514627
